
0it [00:00, ?it/s]
190it [14:19:30, 284.09s/it]
191it [14:24:17, 284.99s/it]
192it [14:29:01, 284.68s/it]
193it [14:33:42, 283.63s/it]
194it [14:38:27, 283.94s/it]
195it [14:43:10, 283.61s/it]
196it [14:47:56, 284.45s/it]
197it [14:52:40, 284.23s/it]
198it [14:57:23, 283.80s/it]
199it [15:02:07, 283.86s/it]
200it [15:06:47, 282.81s/it]
201it [15:11:29, 282.55s/it]
202it [15:16:15, 283.46s/it]
203it [15:20:56, 282.87s/it]
204it [15:25:43, 284.20s/it]
205it [15:30:22, 282.48s/it]
206it [15:35:05, 282.66s/it]
207it [15:39:50, 283.51s/it]
208it [15:44:33, 283.14s/it]
209it [15:49:18, 283.75s/it]
210it [15:54:00, 283.21s/it]
211it [15:58:42, 282.75s/it]
212it [16:03:22, 282.16s/it]
213it [16:08:05, 282.25s/it]
214it [16:12:48, 282.40s/it]
215it [16:17:30, 282.43s/it]
216it [16:22:11, 281.92s/it]
217it [16:26:53, 281.91s/it]
218it [16:31:18, 276.91s/it]
219it [16:35:45, 274.12s/it]
220it [16:40:11, 271.68s/it]
221it [16:44:41, 270.91s/it]
222it [16:49:08, 269.93s/it]
223it [16:53:36, 269.29s/it]
224it [16:58:02, 268.28s/it]
225it [17:02:29, 267.77s/it]
226it [17:06:55, 267.39s/it]
227it [17:11:23, 267.63s/it]
228it [17:15:50, 267.48s/it]
229it [17:20:16, 266.92s/it]
230it [17:24:44, 267.39s/it]
231it [17:29:15, 268.41s/it]
232it [17:33:45, 268.82s/it]
233it [17:38:13, 268.43s/it]
234it [17:42:40, 268.09s/it]
235it [17:47:08, 268.18s/it]
236it [17:51:36, 267.93s/it]
237it [17:56:01, 267.10s/it]
238it [18:00:28, 267.07s/it]
239it [18:04:53, 266.38s/it]
240it [18:09:19, 266.51s/it]
241it [18:13:44, 265.96s/it]
242it [18:18:08, 265.46s/it]
243it [18:22:33, 265.33s/it]
244it [18:26:58, 265.16s/it]
245it [18:31:40, 270.07s/it]
246it [18:36:29, 275.75s/it]
247it [18:41:17, 279.50s/it]
248it [18:46:03, 281.62s/it]
249it [18:50:53, 283.96s/it]
250it [18:55:35, 283.56s/it]
251it [19:00:21, 284.11s/it]
252it [19:05:07, 284.61s/it]
253it [19:09:55, 285.85s/it]
254it [19:14:40, 285.47s/it]
255it [19:19:27, 285.94s/it]
256it [19:24:12, 285.62s/it]
257it [19:28:53, 284.24s/it]
258it [19:33:38, 284.45s/it]
259it [19:38:28, 286.04s/it]
260it [19:43:12, 285.52s/it]
261it [19:47:58, 285.76s/it]
262it [19:52:47, 286.80s/it]
263it [19:57:30, 285.58s/it]
264it [20:02:14, 285.17s/it]
265it [20:07:03, 286.33s/it]
266it [20:11:51, 286.67s/it]
267it [20:16:39, 287.22s/it]
268it [20:21:26, 287.06s/it]
269it [20:26:10, 285.98s/it]
270it [20:30:56, 286.10s/it]
271it [20:35:44, 286.57s/it]
272it [20:40:32, 287.08s/it]
273it [20:45:22, 287.92s/it]
274it [20:50:11, 288.28s/it]
275it [20:54:56, 287.37s/it]
276it [20:59:47, 288.33s/it]
277it [21:04:35, 288.38s/it]
278it [21:09:25, 288.82s/it]
279it [21:14:16, 289.42s/it]
280it [21:19:02, 288.47s/it]
281it [21:23:48, 287.57s/it]
282it [21:28:37, 288.09s/it]
283it [21:33:27, 288.59s/it]
284it [21:38:14, 288.34s/it]
285it [21:43:04, 288.76s/it]
286it [21:47:47, 286.97s/it]
287it [21:52:31, 286.01s/it]
288it [21:56:55, 279.62s/it]
289it [22:01:24, 276.19s/it]
290it [22:05:51, 273.42s/it]
291it [22:10:17, 271.28s/it]
292it [22:14:43, 269.67s/it]
